country,ses2,score,rank,year,survey
Albania,2.0,419.8399999999965,60.0,2000,PISA
Albania,2.0,422.3617999999909,61.0,2000,PISA
Albania,2.0,425.1111999999915,62.0,2000,PISA
Albania,2.0,427.179999999993,63.0,2000,PISA
Albania,2.0,429.16639999999836,64.0,2000,PISA
Albania,2.0,431.9699999999866,65.0,2000,PISA
Albania,2.0,434.3399999999965,66.0,2000,PISA
Albania,2.0,436.5148999999896,67.0,2000,PISA
Albania,2.0,437.86999999999534,68.0,2000,PISA
Albania,2.0,439.679999999993,69.0,2000,PISA
Albania,2.0,441.6559999999882,70.0,2000,PISA
Albania,2.0,445.1504999999971,71.0,2000,PISA
Albania,2.0,447.29719999999736,72.0,2000,PISA
Albania,2.0,450.27999999999884,73.0,2000,PISA
Albania,2.0,452.3969999999949,74.0,2000,PISA
Albania,2.0,455.59999999999127,75.0,2000,PISA
Albania,2.0,459.36239999998946,76.0,2000,PISA
Albania,2.0,462.1716999999941,77.0,2000,PISA
Albania,2.0,465.0881999999932,78.0,2000,PISA
Albania,2.0,468.0599999999977,79.0,2000,PISA
Albania,2.0,470.1299999999901,80.0,2000,PISA
Albania,2.0,472.3899999999994,81.0,2000,PISA
Albania,2.0,477.0,82.0,2000,PISA
Albania,2.0,480.5349999999989,83.0,2000,PISA
Albania,2.0,482.2215999999986,84.0,2000,PISA
Albania,2.0,484.6134999999908,85.0,2000,PISA
Albania,2.0,487.77659999999133,86.0,2000,PISA
Albania,2.0,496.5105999999916,87.0,2000,PISA
Albania,2.0,500.7399999999907,88.0,2000,PISA
Albania,2.0,503.73639999999244,89.0,2000,PISA
Albania,2.0,508.90099999999074,90.0,2000,PISA
Albania,2.0,514.7730999999857,91.0,2000,PISA
Albania,2.0,520.8863999999967,92.0,2000,PISA
Albania,2.0,526.0664999999918,93.0,2000,PISA
Albania,2.0,535.0161999999993,94.0,2000,PISA
Albania,2.0,540.4419999999941,95.0,2000,PISA
Albania,2.0,546.785999999982,96.0,2000,PISA
Albania,2.0,563.5941999999724,97.0,2000,PISA
Albania,2.0,581.6109999999974,98.0,2000,PISA
Albania,2.0,607.5495999999815,99.0,2000,PISA
Albania,2.0,692.0299999999988,100.0,2000,PISA
Albania,3.0,57.44999999999891,0.0,2000,PISA
Albania,3.0,144.40639999999672,1.0,2000,PISA
Albania,3.0,175.0617999999963,2.0,2000,PISA
Albania,3.0,191.72279999999446,3.0,2000,PISA
Albania,3.0,205.3883999999956,4.0,2000,PISA
Albania,3.0,219.03399999999857,5.0,2000,PISA
Albania,3.0,226.01639999999577,6.0,2000,PISA
Albania,3.0,232.47909999999538,7.0,2000,PISA
Albania,3.0,238.66999999999825,8.0,2000,PISA
Albania,3.0,247.9438999999998,9.0,2000,PISA
Albania,3.0,255.6559999999976,10.0,2000,PISA
Albania,3.0,263.75559999999246,11.0,2000,PISA
Albania,3.0,267.73039999998934,12.0,2000,PISA
Albania,3.0,276.32779999998706,13.0,2000,PISA
Albania,3.0,280.0799999999872,14.0,2000,PISA
Albania,3.0,288.6999999999971,15.0,2000,PISA
Albania,3.0,292.37919999998877,16.0,2000,PISA
Albania,3.0,297.09999999999127,17.0,2000,PISA
Albania,3.0,301.8801999999955,18.0,2000,PISA
Albania,3.0,308.403799999989,19.0,2000,PISA
Albania,3.0,312.5139999999868,20.0,2000,PISA
Albania,3.0,316.5896999999888,21.0,2000,PISA
Albania,3.0,320.99259999999106,22.0,2000,PISA
Albania,3.0,326.83089999999606,23.0,2000,PISA
Albania,3.0,331.3059999999887,24.0,2000,PISA
Albania,3.0,334.51749999999083,25.0,2000,PISA
Albania,3.0,338.4689999999956,26.0,2000,PISA
Albania,3.0,342.6391999999963,27.0,2000,PISA
Albania,3.0,345.0303999999934,28.0,2000,PISA
Albania,3.0,346.56909999999505,29.0,2000,PISA
Albania,3.0,349.9129999999932,30.0,2000,PISA
Albania,3.0,352.61099999999135,31.0,2000,PISA
Albania,3.0,356.6299999999901,32.0,2000,PISA
Albania,3.0,359.4221999999923,33.0,2000,PISA
Albania,3.0,362.4841999999958,34.0,2000,PISA
Albania,3.0,366.17499999999563,35.0,2000,PISA
Albania,3.0,369.179999999993,36.0,2000,PISA
Albania,3.0,370.84739999999175,37.0,2000,PISA
Albania,3.0,373.16999999999825,38.0,2000,PISA
Albania,3.0,374.9499999999971,39.0,2000,PISA
Albania,3.0,378.3399999999965,40.0,2000,PISA
Albania,3.0,381.5599999999977,41.0,2000,PISA
